id,name,budget,category
MA,수학,811 ,N
NB,물리학,"4,258 ",N
NC,화학,"3,179 ",N
ND,지구과학,"6,317 ",N
LA,생명과학,"8,466 ",L
LB,농림수산식품,"12,130 ",L
LC,보건의료,"16,372 ",L
EA,기계,"32,655 ",E
EB,재료,"7,098 ",E
EC,화공,"4,444 ",E
ED,전기/전자,"16,326 ",E
EE,정보/통신,"18,715 ",E
EF,에너지/자원,"8,000 ",E
EG,원자력,"6,011 ",E
EH,환경,"4,774 ",E
EI,건설/교통,"9,426 ",E
HA,역사/고고학,21 ,H
HB,철학/종교,22 ,H
HC,언어,77 ,H
HD,문학,37 ,H
HE,문화/예술/체육,"1,808 ",H
SA,법,62 ,S
SB,정치/행정,"1,017 ",S
SC,경제/경영,"7,006 ",S
SD,사회/인류/복지/여성,207 ,S
SE,생활,173 ,S
SF,지리/지역/관광,123 ,S
SG,심리,46 ,S
SH,교육,"1,558 ",S
SI,미디어/커뮤니케이션/문헌정보,584 ,S
OA,뇌과학,"1,052 ",O
OB,인지/감성과학,146 ,O
OC,과학기술과 인문사회,"7,912 ",O
