Source,Target,Weight
LC,LB,163.57
LC,SC,3.5
LC,MA,18.12
LC,NC,170.12
LC,HE,7.45
LC,EB,92.32
LC,EF,4.5
LC,ED,97.93
LC,SA,4
LC,OA,246.54
LC,EC,57.82
LC,EE,77.16
LC,SD,31.25
LC,EH,30.37
LC,LA,1419.36
LC,SB,19
LC,HD,1
LC,HC,0.25
LC,SE,2
LC,EG,55.5
LC,OB,6.08
LC,SH,23.67
LC,EA,119.12
LC,OC,19.25
LC,SG,12.31
LC,NB,37.97
LC,ND,7.25
HA,EB,1
HA,ND,3.5
LB,NC,11.76
LB,HE,1
LB,EB,2.66
LB,EF,13
LB,ED,2.33
LB,OA,0.7
LB,EC,6.83
LB,EI,1
LB,EE,11.5
LB,EH,22.13
LB,LA,319.06
LB,EG,5.5
LB,SF,0.67
LB,EA,4.83
LB,NB,4.5
LB,ND,8.42
SC,MA,16.28
SC,HE,2.5
SC,EB,2
SC,EF,7.33
SC,ED,2.5
SC,EI,4
SC,EE,52.71
SC,EH,3
SC,LA,7.01
SC,HC,5.68
SC,EG,2.33
SC,OB,1.17
SC,EA,7
SC,OC,19.5
SC,ND,2.33
MA,NC,1
MA,EB,1.62
MA,ED,23.88
MA,OA,1.37
MA,EC,3
MA,EI,16.83
MA,EE,55.62
MA,SD,0.33
MA,EH,5.67
MA,LA,5.6
MA,SH,0.33
MA,EA,14.25
MA,NB,69.26
MA,ND,1
NC,EB,176.68
NC,EF,54.85
NC,ED,80.64
NC,SA,2
NC,OA,2
NC,EC,236.08
NC,EI,0.83
NC,EH,32.59
NC,LA,199.05
NC,EG,12.5
NC,EA,22.36
NC,NB,136.19
NC,ND,7.38
HE,EB,8.73
HE,ED,22.31
HE,OA,1
HE,EI,1.5
HE,EE,25.95
HE,OB,1
HE,EA,18.1
EB,EF,309.02
EB,ED,457.45
EB,OA,1.92
EB,EC,501.99
EB,EI,30.64
EB,EE,30.27
EB,EH,57.57
EB,LA,149.28
EB,SE,3.7
EB,EG,46.69
EB,OB,4.25
EB,EA,234.09
EB,NB,150.57
EB,ND,6.4
EF,ED,187.22
EF,EC,287.66
EF,EI,38.33
EF,EE,26.73
EF,SD,1.5
EF,EH,122.31
EF,LA,67.49
EF,EG,15.37
EF,EA,98.65
EF,OC,2
EF,NB,41.8
EF,ND,8.43
ED,OA,23.57
ED,EC,161.23
ED,EI,10.11
ED,EE,324
ED,EH,24.6
ED,LA,35.94
ED,EG,12.34
ED,OB,15.03
ED,SH,1
ED,EA,186.91
ED,NB,240.3
ED,SI,3
ED,ND,6.9
SA,EI,5
SA,LA,2.87
OA,EI,2.5
OA,EE,36.41
OA,EH,1.45
OA,LA,132.79
OA,OB,4.08
OA,EA,7.5
OA,NB,10.82
EC,EI,20.22
EC,EE,6.83
EC,EH,130.18
EC,LA,184.78
EC,SE,1
EC,EG,9.35
EC,OB,11.25
EC,EA,56.23
EC,NB,28.89
EC,ND,1.77
EI,EE,68.27
EI,EH,79.64
EI,SE,5
EI,EG,3
EI,SF,4
EI,SH,2
EI,EA,49.83
EI,OC,7
EI,ND,36.9
EE,SD,4.33
EE,EH,10.66
EE,LA,42.95
EE,HC,0.5
EE,SE,1
EE,EG,3.83
EE,SF,15
EE,OB,21.25
EE,SH,6.5
EE,EA,104.84
EE,OC,7
EE,SG,2
EE,NB,52.38
EE,SI,4
EE,ND,19.99
EH,LA,59.23
EH,SE,4
EH,EG,13.57
EH,EA,27.32
EH,NB,9.53
EH,ND,72.77
LA,HC,5.93
LA,EG,25.68
LA,OB,7.5
LA,SH,0.5
LA,EA,121.68
LA,NB,126.14
LA,ND,53.64
SB,ND,5.5
SE,OB,1
SE,EA,2.7
SE,OC,1
SE,SG,1
EG,EA,17.43
EG,NB,61.72
EG,ND,2.07
SF,OC,1
SF,ND,0.67
OB,SH,1
OB,EA,14.36
OB,SG,2
OB,SI,0.5
OB,ND,0.5
SH,EA,3
SH,OC,17
SH,SG,3
EA,NB,70.2
EA,ND,12.62
NB,ND,37.18
SI,ND,0.5
